title,content,title_mecab,content_mecab,title_okt,content_okt,title_hannanum,content_hannanum,title_komoran,content_komoran
소비자보호실태평가 결과는 어디서 확인할 수 있나요?, 소비자보호실태평가 결과는 금융감독원 홈페이지(www.fss.or.kr) 또는 개별 금융기관 및 협회 홈페이지* 등을 통해 확인하실 수 있습니다.  ※ 금융 권역별 협회 홈페이지 목록  은      행 : 전국은행연합회(www.kfb.or.kr)생명보험 : 생명보험협회(www.klia.or.kr)손해보험 : 손해보험협회(www.knia.or.kr)카      드 : 여신금융협회(www.crefia.or.kr)저축은행 : 저축은행중앙회(www.fsb.or.kr)금융투자 : 금융투자협회(www.kofia.or.kr),소비자 보호 실태 평가 결과 어디 확인 수,소비자 보호 실태 평가 결과 금융 감독원 홈페이지 개별 금융 기관 협회 홈페이지 등 확인 수 금융 권역 협회 홈페이지 목록 행 전국 은행 연합회 생명 보험 생명 보험 협회 손해 보험 손해 보험 협회 여신 금융 협회 저축 은행 저축 은행 중앙 금융 투자 금융 투자 협회,소비자보호 실태 평가 결과 확인 수,소비자보호 실태 평가 결과 금융감독원 홈페이지 개별 금융기관 및 협회 홈페이지 등 통해 확인 수 금융 권역별 협회 홈페이지 목록 은 행 전국 은행 연합 회 생명보험 생명보험 협회 손해 보험 손해 보험 협회 카 드 여신 금융 협회 저축은행 저축은행 중앙회 금융투자 금융투자 협회,소비자보호실태평가 결과 어디 확인 수,소비자보호실태평가 결과 금융감독원 홈페이지(www. 개별 금융기관 협회 홈페이지* 등 확인 수 ※ 금융 권역별 협회 홈페이지 목록 은 행 전국은행연합회(www. 생명보험 생명보험협회(www. 손해보험 손해보험협회(www. 카 드 여신금융협회(www. 저축은행 저축은행중앙회(www. 금융투자 금융투자협회(www.,소비자보호 실태 평가 결과 확인 수,소비자보호 실태 평가 결과 금융감독원 홈페이지 .kr 개별 금융 기관 협회 홈페이지 등 확인 수 금융 권역 협회 홈페이지 목록 은 행 전국은행연합회 .kr 생명보험 생명보험협회 .kr 손해보험 손해보험협회 .kr 카 드 여신금융협회 .kr 저축 은행 저축 은행 중앙회 .kr 금융 투자 금융 투자 협회 .kr
소비자보호실태평가의 평가방법이 궁금합니다.,"  「금융소비자보호 모범규준」에 명기된 소비자보호 사항의 이행여부 점검을 위해 계량 5개, 비계량 5개 등 총 10개 부문으로 구성하여 각 부문별로 평가하고 있습니다.  자세한 내용은 첨부파일을 참고해주시길 바랍니다.   ",소비자 보호 실태 평가 평가 방법,금융 소비자 보호 모범 규준 명기 소비자 보호 사항 이행 여부 점검 계량 개 계량 개 등 개 부문 구성 부문 평가 내용 첨부 파일 참고,소비자보호 실태 평가 평가 방법,금융 소비자보호 모범 규준 명기 소비자보호 사항 이행 여부 점검 위해 계량 개 비 계량 개 등 총 개 부문 구성 각 부문 별로 평가 내용 첨부파일 참고,소비자보호실태평가 평가방법 궁금,「금융소비자보호 모범규준」 명기 소비자보호 사항 이행여부 점검 계량 5개 계량 5개 등 10개 부문 구성 부문별 평가 자세한 내용 첨부파일 고해주시길,소비자보호 실태 평가 평가 방법,금융 소비자보호 모범 규준 명기 소비자보호 사항 이행 여부 점검 계량 개 계량 개 등 개 부문 구성 부문 평가 내용 첨부 파일 참고 해주시 길
소비자보호실태평가는 어떤 제도인가요?,"금융감독원은 금융회사의 민원예방 노력 유도 등을 위해 2002년부터 「민원발생평가제도」를 운영*해왔습니다.  * 금감원이 처리한 민원건수를 기초로 금융회사를 1∼5등급으로 평가하고 대외에 공표(’14년은 81개사 평가)  그러나 민원건수 위주의 평가만으로는 금융회사의 소비자보호 수준을 평가하고, 금융회사의 자율적 개선노력을 유도하는데 한계가 있어 제도 개선의 필요성이 지속적으로 제기되어 왔습니다.  이에 따라 기존 민원발생평가제도를 대신하여 금융회사의 다양한 소비자보호 활동을 종합적으로 평가할 수 있는 「금융소비자보호 실태평가제도」를 도입·시행('16.4월 시행)하게 되었습니다.  소비자보호실태평가제도는 금융소비자에게는 거래 금융회사 선택에 필요한 유용한 정보를 제공하는 한편, 금융회사에게는 소비자보호 중심의 경영문화 확산을 유도하는데 중점을 두고 있습니다.",소비자 보호 실태 평가 제도,금융 감독원 금융 회사 민원 예방 노력 유도 등 년 민원 발생 평가 제도 운영 금감원 처리 민원 건수 기초 금융 회사 등급 평가 대외 공표 년 개 사 평가 민원 건수 위주 평가 금융 회사 소비자 보호 수준 평가 금융 회사 자율 개선 노력 유도 데 한계 제도 개선 필요 지속 제기 이 기존 민원 발생 평가 제도 대신 금융 회사 소비자 보호 활동 종합 평가 수 금융 소비자 보호 실태 평가 제도 도입 시행 월 시행 소비자 보호 실태 평가 제도 금융 소비자 거래 금융 회사 선택 필요 유용 정보 제공 한편 금융 회사 소비자 보호 중심 경영 문화 확산 유도 데 중점,소비자보호 실태 평가 제도,금융감독원 금융 회사 민원 예방 노력 유도 등 위해 민원 발생 평가 제도 를 운영 금감원 처리 민원 건수 기초 금융 회사 평가 대외 공표 개사 평가 민원 건수 위주 평가 금융 회사 소비자보호 수준 평가 금융 회사 자율 개선 노력 유도 한계 제도 개선 필요성 지속 제기 이 기존 민원 발생 평가 제도 대신 금융 회사 소비자보호 활동 종합 평가 수 금융 소비자보호 실태 평가 제도 를 도입 시행 시행 소비자보호 실태 평가 제도 금융 소비자 거래 금융 회사 선택 정보 제공 한편 금융 회사 소비자보호 중심 경영 문화 확산 유도 중점,소비자보호실태평 제도,금융감독원 금융회사 민원예방 노력 유도 등 2002년 「민원발생평가제도」 운영*해왔습니 금감원 처리 민원건수 기초 금융회사 1∼5등급 평가 대외 공표(’14년 81개사 평 민원건수 위주 평가만 금융회사 소비자보호 수준 평가 금융회사 자율적 개선노력 유도 한계 제 개선 필요성 지속적 제기 이 기존 민원발생평가제도 대신 금융회사 다양한 소비자보호 활동 종합적 평가 수 「금융소비자보호 실태평가제도」 도입·시행('16. 4월 시행)하 소비자보호실태평가제도 금융소비자 것 금융회사 선택 필요 유용 정보 제공 한편 금융회사 소비자보호 중심 경영문화 확산 유도 중점,소비자보호 실태 평가 제도,금융감독원 금융 회사 민원 예방 노력 유도 등 년 민원 발생 평가 제도 운영 금감원 처리 민원 건수 기초 금융 회사 등급 평가 대외 공표 14년 개사 평가 민원 건수 위주 평가 금융 회사 소비자보호 수준 평가 금융 회사 자율 개선 노력 유도 한계 제도 개선 필요 지속 제기 기존 민원 발생 평가 제도 대신 금융 회사 소비자보호 활동 종합 평가 수 금융 소비자보호 실태 평가 제도 도입 시행 4월 시행 소비자보호 실태 평가 제도 금융 소비자 거래 금융 회사 선택 필요 정보 제공 한편 금융 회사 소비자보호 중심 경영 문화 확산 유도 중점
금융감독원의 민원대상 금융회사가 궁금합니다.," 금융감독원은 은행, 금융투자업자, 보험회사, 여신전문금융회사, 상호저축은행 등 금융기관에 대한 민원을 처리하고 있습니다.  금융감독원의 민원대상 금융기관 조회방법은 다음과 같습니다.1. 금융감독원 홈페이지 → e-금융민원센터 → 민원안내 → 금융민원신청 안내 → 유의사항2. http://www.fcsc.kr/D/fu_d_01_02.jsp →  유의사항  참고로, 금융감독원의 민원대상 금융기관이 아닌 경우 타 부처 등으로 민원이 이송될 수 있음을 알려드립니다.",금융 감독원 민원 대상 금융 회사,금융 감독원 은행 금융 투자 업자 보험 회사 여신 전문 금융 회사 상호저축은행 등 금융 기관 민원 처리 금융 감독원 민원 대상 금융 기관 조회 방법 다음 금융 감독원 홈페이지 금융 민원 센터 민원 안내 금융 민원 신청 안내 유의 사항 유의 사항 참고 금융 감독원 민원 대상 금융 기관 경우 부처 등 민원 이송 수,금융감독원 민원 대상 금융 회사,금융감독원 은행 금융투자 업자 보험 회사 금융 회사 상호 저축은행 등 금융기관 대한 민원 처리 금융감독원 민원 대상 금융기관 조회 방법 다음 금융감독원 홈페이지 금융 민원 센터 민원 안내 금융 민원 신청 안내 유의사항 유의사항 참고 금융감독원 민원 대상 금융기관 경우 타 부처 등 민원 이송 수 음,금융감독원 민원대상 금융회사 궁금,금융감독원 은행 금융투자업자 보험회사 여신전문금융회사 상호저축은행 등 금융기관 민원 처 금융감독원 민원대상 금융기관 조회방법 다음 1 금융감독원 홈페이지 → 금융민원센터 → 민원안내 → 금융민원신청 내 → 유의사항2 /fu_d_01_02 → 유의사항 참고 금융감독원 민원대상 금융기관 경우 부처 등 민원 이송 수,금융감독원 민원 대상 금융 회사,금융감독원 은행 금융 투자 업자 보험 회사 여신 전문 금융 회사 상호저축은행 등 금융 기관 민원 처리 금융감독원 민원 대상 금융 기관 조회 방법 다음 금융감독원 홈페이지 금융 민원 센터 민원 안내 금융 민원 신청 안내 유의 사항 .kr 유의 사항 참고 금융감독원 민원 대상 금융 기관 경우 부처 등 민원 이송 수
내 금융계좌를 한번에 조회할 수 있는 사이트는 없나요?,"  ‘내 계좌 한눈에’ 서비스를 통하여 본인의 주요 금융계좌 정보를 한번에 조회할 수 있습니다!  금융소비자정보포털 ‘파인’(fine.fss.or.kr) 또는 ’내 계좌 한눈에‘ 홈페이지 (www.accountinfo.or.kr)를 통해 9시부터 22시까지 이용가능하며(연중무휴), 은행·상호금융 계좌, 보험 계약, 대부업체를 제외한 제도권 금융회사의 대출정보를 일괄조회 할 수 있습니다.",내 금융 계좌 번 조회 수 사이트,내 계좌 눈 서비스 본인 주요 금융 계좌 정보 번 조회 수 금융 소비자 정보 포털 파인 내 계좌 눈 홈페이지 시 시 이용 가능 연중무휴 은행 상호 금융 계좌 보험 계약 대부 업체 제외 제도 금융 회사 대출 정보 일괄 조회 수,내 금융 계좌 한번 조회 수 사이트,내 계좌 한눈 서비스 통 본인 주요 금융 계좌 정보 한번 조회 수 금융 소비자 정보 포털 내 계좌 한눈 홈페이지 를 통해 이용 연중 무 은행 상호금융 계좌 보험 계약 대부 업체 제외 제도 금융 회사 대출 정보 일괄 조회 수,내 금융계좌 한번 조회 수 사이트,"‘내 계좌 한눈에’ 서비스 본인 주요 금융계좌 정보 한번 조회 수 금융소비자정보포털 ‘파인’(fine. ’내 계좌 한눈에‘ 홈페이지 9시 22시 이용가능하며(연중무휴), 은행·상호금융 계좌 보험 계약 대부업체 제외 제도권 금융회사 대출정보 일괄조회 수",금융 계좌 한번 조회 수 사이트,계좌 한눈 서비스 본인 금융 계좌 정보 한번 조회 수 금융 소비자 정보 포털 파이 .kr 계좌 한눈 홈페이지 .kr 시 시 이용 연중무휴 은행 상호금융 계좌 보험 계약 대부 업체 제외 제도 금융 회사 대출 정보 일괄 조회 수
어려운 금융용어 등을 쉽게 찾아볼 수 있는 사이트는 없나요?,"  금융감독원은 금융소비자의 전문적인 금융용어에 대한 이해도를 제고하기 위해 관련 제도의 배경, 이슈 등을 종합적으로 반영해 작성한 ‘금융용어사전’을 오픈하였습니다.  ‘금융용어사전’에는 핀테크 발달을 반영한 인터넷 전문은행, P2P(Peer to Peer) 대출, 로보어드바이저, 크라우드펀딩 등 전문 용어를 비롯한 533개 용어를 상세히 설명하고 있습니다.  금융감독원 홈페이지 및 ‘파인(FINE:fine.fss.or.kr)'의 금융용어사전’ 코너에서 찾아보실 수 있으며, 알고 싶은 용어명을 정확히 입력하지 않더라고 일부 단어만으로도 검색이 가능합니다.",금융 용어 등 수 사이트,금융 감독원 금융 소비자 전문 금융 용어 이해도 제고 관련 제도 배경 이슈 등 종합 반영 작성 금융 용어 사전 오픈 금융 용어 사전 핀테크 발달 반영 인터넷 전문 은행 대출 바이저 크라 우드 펀딩 등 전문 용어 개 용어 설명 금융 감독원 홈페이지 파인 금융 용어 사전 코너 수 용어 명 입력 일부 단어 검색 가능,금융 용어 등 수 사이트,금융감독원 금융 소비자 전문 금융 용어 대한 이해도 제 위해 관련 제도 배경 이슈 등 종합 반영 작성 금융 용어사전 오픈 금융 용어사전 핀 테크 발달 반영 인터넷 전문 은행 대출 로 보어 드 바이 저 우드 펀딩 등 전문 용어 비롯 개 용어 상세 설명 금융감독원 홈페이지 및 의 금융 용어사전 코너 수 알 용어 입력 일부 단어 검색,금융용어 등 수 사이트,"금융감독원 금융소비자 전문적 금융용어 이해도 제 관련 제도 배경 이슈 등 종합적 반영해 작성 ‘금융용어사전’ 오픈 ‘금융용어사전’ 핀테크 발달 반영한 인터넷 전문은행 P2P(Peer 대출 로보어드바이저, 크라우드펀딩 등 전문 용어 비롯 533개 용어 설명 금융감독원 홈페이지 ‘파인(FINE:fine. 금융용어사전’ 코너 수 용어명 입력 일부 단어만 검색 가능",금융 용어 등 수 사이트,금융감독원 금융 소비자 전문 금융 용어 이해도 제고 관련 제도 배경 이슈 등 종합 반영 작성 금융 용어 사전 오픈 금융 용어 사전 핀테크 발달 반영 인터넷 전문은행 P2P 대출 로 보어 드 바 이 저 크라우드펀딩 등 전문 용어 개 용어 설명 금융감독원 홈페이지 파이 .kr 금융 용어 사전 코너 수 용어 명 입력 일부 단어 검색
정기예금 및 적금 금리를 한눈에 비교해 볼 수 있는 곳은 없나요?,"금융감독원은 소비자의 금융상품 선택에 실질적인 도움이 될 수 있도록,금융상품 통합 비교공시시스템 ‘금융상품한눈에’를 오픈하였습니다.  예·적금, 대출 등 금융상품을 통합 비교공시하고 있으며,실손보험, 자동차보험 등은 협회사이트(보험다모아)를 연결하여 제공하고 있습니다.(다만 본 사이트의 금융상품 정보는 매월 20일 정기적으로 공시하고 있으며, 최신정보 제공을 위해 노력하고 있으나 금융상품의 금리 등 거래조건이 수시로 변경될 수 있으므로 거래전 반드시 해당 금융회사에 문의 후 구입을 결정하시기 바랍니다.)  * 홈페이지 주소 : http://finlife.fss.or.kr   ",정기예금 적금 금리 한눈 비교 수 곳,금융 감독원 소비자 금융 상품 선택 실질 도움 수 금융 상품 통합 비교 공시 시스템 금융 상품 눈 오픈 적금 대출 등 금융 상품 통합 비교 공시 실 손 보험 자동차 보험 등 협회 사이트 보험 연결 제공 사이트 금융 상품 정보 일 정기 공시 최신 정보 제공 노력 금융 상품 금리 등 거래 조건 변경 수 거래 전 해당 금융 회사 문 후 구입 결정 홈페이지 주소,정기예금 및 적금 금리 한눈 비교 볼 수 곳,금융감독원 소비자 금융 상품 선택 실질 도움 수 금융 상품 통합 비교 공시 시스템 금융 상품 한눈 를 오픈 예 적금 대출 등 금융 상품 통합 비교 공시 실손 보험 자동차 보험 등 협회 사이트 보험 다모아 를 제공 다만 사이트 금융 상품 정보 매월 정기 공시 최신 정보 제공 위해 노력 금융 상품 금리 등 거래 조건 변경 수 거래 전 반드시 해당 금융 회사 문의 후 구입 결정 홈페이지 주소,정기예금 적금 금리 한눈 비교 수 곳,"금융감독원 소비자 금융상품 선택 실질적 도움 수 금융상품 통합 비교공시시스템 ‘금융상품한눈에’ 오픈 예·적금, 대출 등 금융상품 통합 비교공시 있으며,실손보험, 자동차보험 등 협회사이트(보험다모아) 연결 제공 사이트 금융상품 정보 20 정기적 공시 최신정보 제공 노력 금융상품 금리 등 거래조건 변경 수 거래전 해당 금융회사 문 후 구입 결정하시 홈페이지 주소",정기예금 적금 금리 한눈 비교 수 곳,금융감독원 소비자 금융 상품 선택 실질 도움 수 금융 상품 통합 비교 공시 시스템 금융 상품 한눈 오픈 적금 대출 등 금융 상품 통합 비교 공시 실 손 보험 자동차보험 등 협회 사이트 보험 다모 연결 제공 다만 사이트 금융 상품 정보 일 정기 공시 최신 정보 제공 노력 금융 상품 금리 등 거래 조건 변경 수 거래 전 해당 금융 회사 문 후 구입 결정 홈페이지 주소 .kr
「보이는 ARS」는 어떻게 이용할 수 있나요?, 금융감독원은 금감원 콜센터(☎1332)의 음성 ARS안내 내용을 스마트폰 화면을 통해 한 번에 확인 할 수 있는 ｢보이는 1332｣ 서비스를 시행중에 있습니다. 동 서비스 이용방법은 첨부파일을 참고하여 주시기 바랍니다.,이용 수,금융 감독원 금감원 콜 센터 음성 안내 내용 스마트폰 화면 번 확인 수 서비스 시행 중 서비스 이용 방법 첨부 파일 참고,이용 수,금융감독원 금감원 콜센터 의 음성 안내 내용 스마트폰 화면 통해 번 확인 수 서비스 시행 서비스 이용 방법 첨부파일 참고 시기,「보 ARS」 이용 수,금융감독원 금감원 콜센터(☎1332) 음성 안 내용 스마트폰 화면 번 확인 수 ｢보 1332｣ 서비스 시행중 동 서비스 이용방법 첨부파일,이용 수,금융감독원 금감원 콜 센터 음성 안내 내용 스마트폰 화면 번 확인 수 보이 서비스 시행 중 서비스 이용 방법 첨부 파일 참고
자동차사고 발생시 양당사자의 과실비율은 어떻게 산정하나요?,"현행 자동차보험 표준약관에 따르면, i) 별도로 정한 자동차사고 과실비율의 인정기준을 참고하여 산정하고, ii) 사고유형이 그 기준에 없거나, 그 기준에 의한 과실비율의 적용이 곤란할 때에는 판결례를 참작하여 산정합니다. iii) 그러나 소송이 제기되었을 경우에는 확정판결에 의한 과실비율을 적용하여 산정합니다. 별도로 정한 자동차 과실비율 인정기준에 대해서는 손해보험협회 사이트*(소비자 마당-자동차보험 안내-자동차사고 과실비율 인정기준)를 참고하시기 바랍니다. 스마트폰 이용자의 경우, 해당 홈페이지 주소에서 ’자동차사고 과실비율 인정기준 어플리케이션’을 내려받아 사용하실 수 있습니다. * 홈페이지 주소 : http://accident.knia.or.kr/",자동차 사고 발생 시 당사자 과실 비율 산정,현행 자동차 보험 표준 약관 별도 자동차 사고 과실 비율 인정 기준 참고 산정 사고 유형 기준 기준 과실 비율 적용 곤란 때 판결례 참작 산정 소송 제기 경우 확정 판결 과실 비율 적용 산정 별도 자동차 과실 비율 인정 기준 손해 보험 협회 사이트 소비자 마당 자동차 보험 안내 자동차 사고 과실 비율 인정 기준 참고 스마트폰 이용자 경우 해당 홈페이지 주소 자동차 사고 과실 비율 인정 기준 어플리케이션 사용 수 홈페이지 주소,자동차 사고 발생 시 당사자 과실 비율 산정 하나요,현행 자동차 보험 표준 약관 별도 정 자동차 사고 과실 비율 인정 기준 참고 산정 고유 그 기준 그 기준 과실 비율 적용 때 판결례 참작 산정 소송 제기 경우 확정판결 과실 비율 적용 산정 별도 정 자동차 과실 비율 인정 기준 대해 손해 보험 협회 사이트 소비자 마당 자동차 보험 안내 자동차 사고 과실 비율 인정 기준 를 참고 스마트폰 이용자 경우 해당 홈페이지 주소 자동차 사고 과실 비율 인정 기준 어플리케이션 사용 수 홈페이지 주소,자동차사 발생시 양당사자 과실비율 산정,현행 자동차보험 표준약관 별도 자동차사 과실비율 인정기준 산정 사고유형 기준 기준 과실비율 적용 곤란 때 판결례 참작 산정 소송 제기 경우 확정판결 과실비율 적용 산정 별도 자동차 과실비율 인정기준 손해보험협회 사이트*(소비 마당 자동차보험 안내 자동차사 과실비율 인정기준 스마트폰 이용자 경우 해당 홈페이지 주소 ’자동차사 과실비율 인정기준 어플리케이션’ 사용 수 홈페이지 주소,자동차 사고 발생 양 당사자 과실 비율 산정,현행 자동차보험 표준 약관 별도 자동차 사고 과실 비율 인정 기준 참고 산정 사고 유형 기준 기준 과실 비율 적용 곤란 때 참작 산정 소송 제기 경우 확정판결 과실 비율 적용 산정 별도 자동차 과실 비율 인정 기준 손해보험협회 사이트 소비자 마당 자동차보험 안내 자동차 사고 과실 비율 인정 기준 참고 스마트폰 이용자 경우 해당 홈페이지 주소 자동차 사고 과실 비율 인정 기준 어 플리 케이 션 사용 수 홈페이지 주소 .kr
"교통사고 시 SUV, RV, 승합차의 렌트비 인정기준은 어떻게 되나요?","교통사고 시 SUV, RV, 승합차의 렌트비 인정기준에 대해서는 첨부파일을 참고하여 주시기 바랍니다. 감사합니다.",교통사고 시 승합차 렌트 인정 기준,교통사고 시 승합차 렌트 인정 기준 첨부 파일 참고 감사,교통사고 시 승합차 렌트 비 인정 기준,교통사고 시 승합차 렌트 비 인정 기준 대해 첨부파일 참고 시기,교통사고 시 승합차 렌트비 인정기준,교통사고 시 승합차 렌트비 인정기준 첨부파일 감사,교통사고 시 승합차 렌트 비 인정 기준,교통사고 시 승합차 렌트 비 인정 기준 첨부 파일 참고 감사
